@relation TWS-3D-v3.3.2-grayscale

@attribute original numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {'class 1','class 2'}

@data
3,2.2,0.2,2.076923,0.24359,2.260163,0.472744,2.257287,0.307983,'class 1'
2,2,0.5,2,0.166667,2.268293,0.427429,2.245226,0.306001,'class 1'
1,1.8,0.2,2.230769,0.525641,2.276423,0.496735,2.243216,0.304972,'class 1'
2,2.2,1.2,2.153846,0.474359,2.227642,0.341197,2.248241,0.31759,'class 1'
4,2.4,0.8,2.076923,0.576923,2.178862,0.295615,2.232161,0.309226,'class 1'
2,2.2,1.2,2.076923,0.410256,2.170732,0.323071,2.21608,0.298333,'class 1'
1,1.8,0.2,2.076923,0.410256,2.170732,0.323071,2.230151,0.302108,'class 1'
2,1.8,0.2,1.923077,0.076923,2.178862,0.344795,2.234171,0.3103,'class 1'
2,2,0,1.923077,0.076923,2.178862,0.361189,2.228141,0.301018,'class 1'
2,2,0,2.076923,0.076923,2.170732,0.355858,2.223116,0.292222,'class 1'
2,2,0,2.230769,0.358974,2.186992,0.399174,2.239196,0.298865,'class 1'
2,2.2,0.2,2.230769,0.192308,2.195122,0.355058,2.237186,0.295799,'class 1'
3,2.4,0.3,2.153846,0.141026,2.186992,0.300813,2.237186,0.291775,'class 1'
2,2.2,0.2,2.307692,0.230769,2.186992,0.28442,2.224121,0.292778,'class 1'
2,2.4,0.3,2.307692,0.230769,2.203252,0.245235,2.211055,0.299475,'class 1'
2,2.2,0.2,2.153846,0.307692,2.186992,0.218846,2.225126,0.317477,'class 1'
2,1.8,0.2,2.076923,0.24359,2.186992,0.218846,2.21005,0.306941,'class 1'
1,2,0.5,2,0.166667,2.186992,0.202452,2.194975,0.293939,'class 1'
2,1.8,0.2,2,0.166667,2.211382,0.217246,2.20804,0.307782,'class 1'
2,2,0,2.076923,0.076923,2.178862,0.213648,2.196985,0.279065,'class 1'
2,2,0,2,0,2.170732,0.241104,2.192965,0.268562,'class 1'
2,2,0,2.307692,0.397436,2.203252,0.261629,2.19598,0.270406,'class 1'
2,2.6,0.8,2.230769,0.358974,2.138211,0.169266,2.19598,0.260346,'class 1'
3,2.2,0.2,2.307692,0.397436,2.097561,0.154338,2.19598,0.244249,'class 1'
2,2.4,0.3,2.153846,0.141026,2.121951,0.206317,2.19799,0.247481,'class 1'
3,2.2,0.2,2.153846,0.141026,2.113821,0.18366,2.2,0.252716,'class 1'
2,2,0,2.153846,0.141026,2.146342,0.191523,2.20804,0.251444,'class 1'
2,2,0,2.307692,0.397436,2.178862,0.230041,2.219095,0.259796,'class 1'
2,2.6,0.8,2.307692,0.397436,2.195122,0.273091,2.217085,0.250613,'class 1'
2,2.6,0.8,2.230769,0.358974,2.268293,0.296281,2.224121,0.268633,'class 1'
2,2,0,2.384615,0.423077,2.300813,0.326803,2.235176,0.270592,'class 1'
2,2.4,0.3,2.384615,0.423077,2.284553,0.303612,2.236181,0.285209,'class 1'
3,2.4,0.3,2.307692,0.230769,2.284553,0.287218,2.245226,0.293928,'class 1'
2,2,0,2.153846,0.141026,2.211382,0.200853,2.242211,0.282321,'class 1'
2,2.2,0.2,2.076923,0.076923,2.195122,0.207517,2.234171,0.274083,'class 1'
3,2.2,0.2,2.230769,0.358974,2.195122,0.338665,2.247236,0.29495,'class 1'
2,2.4,0.8,2.230769,0.358974,2.219512,0.336665,2.252261,0.299479,'class 1'
2,2.6,0.3,2.230769,0.192308,2.203252,0.343596,2.224121,0.284729,'class 1'
3,2.2,0.2,2.384615,0.25641,2.243902,0.34986,2.218091,0.287399,'class 1'
2,2.4,0.3,2.307692,0.397436,2.195122,0.207517,2.21005,0.288832,'class 1'
3,2.6,0.8,2.307692,0.564103,2.243902,0.30068,2.235176,0.30681,'class 1'
2,2.2,0.2,2.230769,0.358974,2.219512,0.271092,2.20804,0.261505,'class 1'
2,2,0,2.076923,0.076923,2.219512,0.287485,2.217085,0.27677,'class 1'
2,2,0,2,0,2.195122,0.207517,2.227136,0.280349,'class 1'
2,2,0,2,0,2.178862,0.213648,2.21407,0.267005,'class 1'
3,2.4,0.3,2.384615,0.423077,2.195122,0.256697,2.230151,0.279975,'class 1'
2,2,0,2.230769,0.358974,2.243902,0.284286,2.231156,0.280517,'class 1'
2,2.4,0.8,2.230769,0.358974,2.252033,0.272025,2.236181,0.293257,'class 1'
2,2.2,0.2,2.461539,0.435897,2.203252,0.245235,2.230151,0.288024,'class 1'
3,2.4,0.3,2.076923,0.410256,2.170732,0.241104,2.252261,0.297467,'class 1'
1,1.8,0.2,2.076923,0.410256,2.203252,0.261629,2.230151,0.265891,'class 1'
3,2.4,0.3,2.307692,0.397436,2.211382,0.266427,2.223116,0.268077,'class 1'
2,2.4,0.3,2.384615,0.25641,2.219512,0.271092,2.229146,0.285468,'class 1'
